word	num	freq
发展	7506	0.009082131215379366
责任	5862	0.00709291942240259
管理	5448	0.006591986525631067
工作	4805	0.005813967557940028
产品	2794	0.003380692061786564
环境	2727	0.003299623211342863
持续	2693	0.003258483794699791
环保	2668	0.0032282342236387086
培训	2651	0.003207664515317173
建设	2574	0.003114495836449039
技术	2528	0.003058836625696648
信息	2352	0.002845879645426628
制度	2341	0.0028325698341597517
提高	2248	0.0027200414298125253
质量	2118	0.002562743660294897
保护	2041	0.002469574981426763
组织	1991	0.0024090758393045986
节能	1868	0.0022602479496840735
治理	1821	0.0022033787560892387
完善	1744	0.002110210077221105
经济	1737	0.002101740197324002
利益	1626	0.0019674321018127963
提升	1553	0.0018791033543144359
体系	1546	0.0018706334744173327
保障	1499	0.001813764280822498
健康	1445	0.0017484252073305601
和谐	1442	0.00174479525880323
创新	1344	0.0016262169402437873
能源	1291	0.0015620878495942927
控制	1273	0.0015403081584303134
规范	1213	0.0014677091878837157
战略	1182	0.0014301997197679738
资源	1177	0.0014241498055557573
目标	1113	0.0013467109036393863
减排	1108	0.00134066098942717
能力	1072	0.0012971016070992113
创造	1055	0.0012765318987776754
保证	1017	0.0012305525507648302
系统	1003	0.001213612790970624
标准	982	0.001188203151279315
制定	982	0.001188203151279315
确保	980	0.0011857831855944282
利用	935	0.00113133395768448
排放	929	0.0011240740606298203
设备	916	0.0011083442836780574
工程	890	0.0010768847297745318
投资	861	0.0010417952273436763
科技	842	0.0010188055533372536
循环	835	0.0010103356734401507
投入	828	0.0010018657935430475
机制	823	0.0009958158793308312
回报	814	0.0009849260337488415
绿色	800	0.0009679862739546353
研发	778	0.0009413666514208829
产业	763	0.0009232169087842334
清洁	754	0.0009123270632022438
监督	737	0.0008917573548807078
计划	690	0.000834888161285873
减少	683	0.0008264182813887699
加大	682	0.0008252082985463266
机构	651	0.0007876988304305845
考核	635	0.0007683391049514918
科学	616	0.0007453494309450692
检查	614	0.0007429294652601826
回收	609	0.0007368795510479661
降低	585	0.000707839962829327
设施	581	0.0007030000314595539
风险	575	0.0006957401344048941
指标	567	0.0006860602716653478
改善	563	0.0006812203402955746
重视	561	0.000678800374610688
政策	557	0.0006739604432409148
构建	556	0.0006727504603984716
改造	555	0.0006715404775560282
